,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[986],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[987],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[988],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[989],0.158,0.034,0.099,0.226,0.001,0.001,766.0,782.0,1.01
mu[990],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[991],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[992],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[993],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[994],1.208,0.204,0.818,1.617,0.007,0.006,751.0,735.0,1.0
mu[995],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[996],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[997],2.441,0.336,1.841,3.111,0.012,0.008,731.0,724.0,1.0
mu[998],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[999],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
sigma_group,0.782,0.584,0.011,1.945,0.02,0.016,792.0,764.0,1.0
